date,Gouvernorat,الولاية,Cas,Rétablis,Décès,Hospitalisé,nbre tests,Reanimation,Pays
10/04/2020,Ben Arous,بن عروس,1,,,,,,Tunisie
10/04/2020,Monastir,المنستير,0,,,,,,Tunisie
10/04/2020,Sousse,سوسة,5,,,,,,Tunisie
10/04/2020,Kebili,قبلي,1,,,,,,Tunisie
10/04/2020,Sfax,صفاقس,0,,1,,,,Tunisie
10/04/2020,Bizerte,بنزرت,0,,-1,,,,Tunisie
10/04/2020,Nabeul,نابل,0,,,,,,Tunisie
10/04/2020,Manouba,منوبة,2,,3,,,,Tunisie
10/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
10/04/2020,Gabes,قابس,0,,,,,,Tunisie
10/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
10/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
10/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
10/04/2020,Tozeur,توزر,0,,,,,,Tunisie
10/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
10/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
10/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
10/04/2020,Gafsa,قفصة,3,,,,,,Tunisie
10/04/2020,Beja,باجة,0,,,,,,Tunisie
11/04/2020,Tunis,تونس,8,,2,,562,,Tunisie
11/04/2020,Ariana,اريانة,1,,,,,,Tunisie
11/04/2020,Medenine,مدنين,2,,,,,,Tunisie
11/04/2020,Ben Arous,بن عروس,5,,1,,,,Tunisie
11/04/2020,Monastir,المنستير,1,,,,,,Tunisie
11/04/2020,Sousse,سوسة,1,,,,,,Tunisie
11/04/2020,Kebili,قبلي,-1,,,,,,Tunisie
11/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
11/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
11/04/2020,Nabeul,نابل,-1,,,,,,Tunisie
11/04/2020,Manouba,منوبة,1,,,,,,Tunisie
11/04/2020,Tataouine,تطاوين,1,,,,,,Tunisie
11/04/2020,Gabes,قابس,1,,,,,,Tunisie
11/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
11/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
11/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
11/04/2020,Tozeur,توزر,0,,,,,,Tunisie
11/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
11/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
11/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
11/04/2020,Gafsa,قفصة,2,,,,,,Tunisie
11/04/2020,Beja,باجة,0,,,,,,Tunisie
11/04/2020,Jendouba,جندوبة,1,,,,,,Tunisie
12/04/2020,Tunis,تونس,6,,1,,587,,Tunisie
12/04/2020,Ariana,اريانة,0,,,,,,Tunisie
12/04/2020,Medenine,مدنين,1,,1,,,,Tunisie
12/04/2020,Ben Arous,بن عروس,3,,,,,,Tunisie
12/04/2020,Monastir,المنستير,0,,,,,,Tunisie
12/04/2020,Sousse,سوسة,2,,1,,,,Tunisie
12/04/2020,Kebili,قبلي,2,,,,,,Tunisie
12/04/2020,Sfax,صفاقس,0,, ,,,,Tunisie
12/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
12/04/2020,Nabeul,نابل,0,,,,,,Tunisie
12/04/2020,Manouba,منوبة,0,,,,,,Tunisie
12/04/2020,Tataouine,تطاوين,2,,,,,,Tunisie
12/04/2020,Gabes,قابس,2,,,,,,Tunisie
12/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
12/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
12/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
12/04/2020,Tozeur,توزر,1,,,,,,Tunisie
12/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
12/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
12/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
12/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
12/04/2020,Beja,باجة,0,,,,,,Tunisie
12/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
13/04/2020,Tunis,تونس,1,,,,590,,Tunisie
13/04/2020,Ariana,اريانة,1,,,,,,Tunisie
13/04/2020,Medenine,مدنين,4,,,,,,Tunisie
13/04/2020,Ben Arous,بن عروس,5,,,,,,Tunisie
13/04/2020,Monastir,المنستير,0,,,,,,Tunisie
13/04/2020,Sousse,سوسة,0,,,,,,Tunisie
13/04/2020,Kebili,قبلي,3,,,,,,Tunisie
13/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
13/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
13/04/2020,Nabeul,نابل,0,,,,,,Tunisie
13/04/2020,Manouba,منوبة,0,,,,,,Tunisie
13/04/2020,Tataouine,تطاوين,1,,,,,,Tunisie
13/04/2020,Gabes,قابس,0,,,,,,Tunisie
13/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
13/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
13/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
13/04/2020,Tozeur,توزر,1,,,,,,Tunisie
13/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
13/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
13/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
13/04/2020,Gafsa,قفصة,5,,,,,,Tunisie
13/04/2020,Beja,باجة,0,,,,,,Tunisie
13/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
14/04/2020,Tunis,تونس,13,,,,722,,Tunisie
14/04/2020,Ariana,اريانة,-1,,1,,,,Tunisie
14/04/2020,Medenine,مدنين,0,,,,,,Tunisie
14/04/2020,Ben Arous,بن عروس,2,,,,,,Tunisie
14/04/2020,Monastir,المنستير,1,,,,,,Tunisie
14/04/2020,Sousse,سوسة,4,,,,,,Tunisie
14/04/2020,Kebili,قبلي,6,,,,,,Tunisie
14/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
14/04/2020,Bizerte,بنزرت,1,,,,,,Tunisie
14/04/2020,Nabeul,نابل,0,,,,,,Tunisie
14/04/2020,Manouba,منوبة,1,,,,,,Tunisie
14/04/2020,Tataouine,تطاوين,2,,,,,,Tunisie
14/04/2020,Gabes,قابس,0,,,,,,Tunisie
14/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
14/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
14/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
14/04/2020,Tozeur,توزر,1,,,,,,Tunisie
14/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
14/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
14/04/2020,Kasserine,قصرين,3,,,,,,Tunisie
14/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
14/04/2020,Beja,باجة,0,,,,,,Tunisie
14/04/2020,Jendouba,جندوبة,0,,,84,,,Tunisie
15/04/2020,Tunis,تونس,6,,,,722,,Tunisie
15/04/2020,Ariana,اريانة,6,,0,,,,Tunisie
15/04/2020,Medenine,مدنين,11,,,,,,Tunisie
15/04/2020,Ben Arous,بن عروس,0,,1,,,,Tunisie
15/04/2020,Monastir,المنستير,0,,,,,,Tunisie
15/04/2020,Sousse,سوسة,0,,,,,,Tunisie
15/04/2020,Kebili,قبلي,8,,,,,,Tunisie
15/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
15/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
15/04/2020,Nabeul,نابل,0,,,,,,Tunisie
15/04/2020,Manouba,منوبة,0,,1,,,,Tunisie
15/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
15/04/2020,Gabes,قابس,0,,,,,,Tunisie
15/04/2020,Mahdia,مهدية,1,,,,,,Tunisie
15/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
15/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
15/04/2020,Tozeur,توزر,0,,,,,,Tunisie
15/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
15/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
15/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
15/04/2020,Gafsa,قفصة,9,,,,,,Tunisie
15/04/2020,Beja,باجة,0,,,,,,Tunisie
15/04/2020,Jendouba,جندوبة,0,,,84,,,Tunisie
15/04/2020,Seliana,,1,,,,,,
16/04/2020,Tunis,تونس,0,,,,710,,Tunisie
16/04/2020,Ariana,اريانة,0,,,,,,Tunisie
16/04/2020,Medenine,مدنين,3,, ,,,,Tunisie
16/04/2020,Ben Arous,بن عروس,6,,,,,,Tunisie
16/04/2020,Monastir,المنستير,0,,,,,,Tunisie
16/04/2020,Sousse,سوسة,3,,,,,,Tunisie
16/04/2020,Kebili,قبلي,17,,,,,,Tunisie
16/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
16/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
16/04/2020,Nabeul,نابل,0,,,,,,Tunisie
16/04/2020,Manouba,منوبة,1,,,,,,Tunisie
16/04/2020,Tataouine,تطاوين,7,,,,,,Tunisie
16/04/2020,Gabes,قابس,5,,,,,,Tunisie
16/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
16/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
16/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
16/04/2020,Tozeur,توزر,0,,,,,,Tunisie
16/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
16/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
16/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
16/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
16/04/2020,Beja,باجة,0,,,,,,Tunisie
16/04/2020,Jendouba,جندوبة,0,,,84,,,Tunisie
16/04/2020,Seliana,,0,,,,,,Tunisie
17/04/2020,Tunis,تونس,0,,1,,692,,Tunisie
17/04/2020,Ariana,اريانة,0,,,,,,Tunisie
17/04/2020,Medenine,مدنين,0,,,,,,Tunisie
17/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
17/04/2020,Monastir,المنستير,0,,,,,,Tunisie
17/04/2020,Sousse,سوسة,0,,,,,,Tunisie
17/04/2020,Kebili,قبلي,0,,,,,,Tunisie
17/04/2020,Sfax,صفاقس,1,,,,,,Tunisie
17/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
17/04/2020,Nabeul,نابل,0,,,,,,Tunisie
17/04/2020,Manouba,منوبة,0,,,,,,Tunisie
17/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
17/04/2020,Gabes,قابس,0,,,,,,Tunisie
17/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
17/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
17/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
17/04/2020,Tozeur,توزر,1,,,,,,Tunisie
17/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
17/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
17/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
17/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
17/04/2020,Beja,باجة,0,,,,,,Tunisie
17/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
17/04/2020,Seliana,,0,,,,,,Tunisie
18/04/2020,Tunis,تونس,0,,,,766,,Tunisie
18/04/2020,Ariana,اريانة,0,,,,,,Tunisie
18/04/2020,Medenine,مدنين,0,,,,,,Tunisie
18/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
18/04/2020,Monastir,المنستير,2,,,,,,Tunisie
18/04/2020,Sousse,سوسة,2,,,,,,Tunisie
18/04/2020,Kebili,قبلي,7,,,,,,Tunisie
18/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
18/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
18/04/2020,Nabeul,نابل,0,,,,,,Tunisie
18/04/2020,Manouba,منوبة,1,,,,,,Tunisie
18/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
18/04/2020,Gabes,قابس,1,,,,,,Tunisie
18/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
18/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
18/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
18/04/2020,Tozeur,توزر,0,,,,,,Tunisie
18/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
18/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
18/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
18/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
18/04/2020,Beja,باجة,0,,,,,,Tunisie
18/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
18/04/2020,Seliana,,0,,,,,,Tunisie
19/04/2020,Tunis,تونس,0,127,,,1189,,Tunisie
19/04/2020,Ariana,اريانة,0,,,,,,Tunisie
19/04/2020,Medenine,مدنين,1,,,,,,Tunisie
19/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
19/04/2020,Monastir,المنستير,-1,,,,,,Tunisie
19/04/2020,Sousse,سوسة,1,,,,,,Tunisie
19/04/2020,Kebili,قبلي,0,,,,,,Tunisie
19/04/2020,Sfax,صفاقس,2,,,,,,Tunisie
19/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
19/04/2020,Nabeul,نابل,0,,,,,,Tunisie
19/04/2020,Manouba,منوبة,0,,,,,,Tunisie
19/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
19/04/2020,Gabes,قابس,0,,,,,,Tunisie
19/04/2020,Mahdia,مهدية,2,,,,,,Tunisie
19/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
19/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
19/04/2020,Tozeur,توزر,0,,,,,,Tunisie
19/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
19/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
19/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
19/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
19/04/2020,Beja,باجة,0,,,,,,Tunisie
19/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
19/04/2020,Seliana,,0,,,,,,Tunisie
20/04/2020,Tunis,تونس,2,20,,-197,878,32,Tunisie
20/04/2020,Ariana,اريانة,4,,,,,,Tunisie
20/04/2020,Medenine,مدنين,0,,,,,,Tunisie
20/04/2020,Ben Arous,بن عروس,4,,,,,,Tunisie
20/04/2020,Monastir,المنستير,0,,,,,,Tunisie
20/04/2020,Sousse,سوسة,0,,,,,,Tunisie
20/04/2020,Kebili,قبلي,2,,,,,,Tunisie
20/04/2020,Sfax,صفاقس,2,,,,,,Tunisie
20/04/2020,Bizerte,بنزرت,1,,,,,,Tunisie
20/04/2020,Nabeul,نابل,0,,,,,,Tunisie
20/04/2020,Manouba,منوبة,0,,,,,,Tunisie
20/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
20/04/2020,Gabes,قابس,1,,,,,,Tunisie
20/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
20/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
20/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
20/04/2020,Tozeur,توزر,0,,,,,,Tunisie
20/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
20/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
20/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
20/04/2020,Gafsa,قفصة,1,,,,,,Tunisie
20/04/2020,Beja,باجة,0,,,,,,Tunisie
20/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
20/04/2020,Seliana,,0,,,,,,Tunisie
21/04/2020,Tunis,تونس,3,,,,696,,Tunisie
21/04/2020,Ariana,اريانة,0,,,,,,Tunisie
21/04/2020,Medenine,مدنين,0,,,,,,Tunisie
21/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
21/04/2020,Monastir,المنستير,0,,,,,,Tunisie
21/04/2020,Sousse,سوسة,3,,,,,,Tunisie
21/04/2020,Kebili,قبلي,0,,,,,,Tunisie
21/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
21/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
21/04/2020,Nabeul,نابل,0,,,,,,Tunisie
21/04/2020,Manouba,منوبة,1,,,,,,Tunisie
21/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
21/04/2020,Gabes,قابس,0,,,,,,Tunisie
21/04/2020,Mahdia,مهدية,1,,,,,,Tunisie
21/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
21/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
21/04/2020,Tozeur,توزر,0,,,,,,Tunisie
21/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
21/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
21/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
21/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
21/04/2020,Beja,باجة,0,,,,,,Tunisie
21/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
21/04/2020,Seliana,,0,,,,,,Tunisie
22/04/2020,Tunis,تونس,1,,,,550,,Tunisie
22/04/2020,Ariana,اريانة,1,,,,,,Tunisie
22/04/2020,Medenine,مدنين,0,,,,,,Tunisie
22/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
22/04/2020,Monastir,المنستير,0,,,,,,Tunisie
22/04/2020,Sousse,سوسة,1,,,,,,Tunisie
22/04/2020,Kebili,قبلي,1,,,,,,Tunisie
22/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
22/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
22/04/2020,Nabeul,نابل,0,,,,,,Tunisie
22/04/2020,Manouba,منوبة,0,,,,,,Tunisie
22/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
22/04/2020,Gabes,قابس,0,,,,,,Tunisie
22/04/2020,Mahdia,مهدية,-1,,,,,,Tunisie
22/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
22/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
22/04/2020,Tozeur,توزر,0,,,,,,Tunisie
22/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
22/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
22/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
22/04/2020,Gafsa,قفصة,5,,,,,,Tunisie
22/04/2020,Beja,باجة,0,,,,,,Tunisie
22/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
22/04/2020,Seliana,,1,,,,,,Tunisie
23/04/2020,Tunis,تونس,0,,0,-4,438,-12,Tunisie
23/04/2020,Ariana,اريانة,0,,,,,,Tunisie
23/04/2020,Medenine,مدنين,0,,,,,,Tunisie
23/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
23/04/2020,Monastir,المنستير,0,,,,,,Tunisie
23/04/2020,Sousse,سوسة,3,,,,,,Tunisie
23/04/2020,Kebili,قبلي,0,,,,,,Tunisie
23/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
23/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
23/04/2020,Nabeul,نابل,0,,,,,,Tunisie
23/04/2020,Manouba,منوبة,0,,,,,,Tunisie
23/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
23/04/2020,Gabes,قابس,0,,,,,,Tunisie
23/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
23/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
23/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
23/04/2020,Tozeur,توزر,0,,,,,,Tunisie
23/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
23/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
23/04/2020,Kasserine,قصرين,1,,,,,,Tunisie
23/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
23/04/2020,Beja,باجة,0,,,,,,Tunisie
23/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
23/04/2020,Seliana,,0,,,,,,Tunisie
24/04/2020,Tunis,تونس,3,13,0,-6,559,-1,Tunisie
24/04/2020,Ariana,اريانة,0,,,,,,Tunisie
24/04/2020,Medenine,مدنين,1,,,,,,Tunisie
24/04/2020,Ben Arous,بن عروس,1,,,,,,Tunisie
24/04/2020,Monastir,المنستير,0,,,,,,Tunisie
24/04/2020,Sousse,سوسة,0,,,,,,Tunisie
24/04/2020,Kebili,قبلي,8,,,,,,Tunisie
24/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
24/04/2020,Bizerte,بنزرت,0,,,,,,Tunisie
24/04/2020,Nabeul,نابل,0,,,,,,Tunisie
24/04/2020,Manouba,منوبة,0,,,,,,Tunisie
24/04/2020,Tataouine,تطاوين,3,,,,,,Tunisie
24/04/2020,Gabes,قابس,0,,,,,,Tunisie
24/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
24/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
24/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
24/04/2020,Tozeur,توزر,0,,,,,,Tunisie
24/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
24/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
24/04/2020,Kasserine,قصرين,1,,,,,,Tunisie
24/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
24/04/2020,Beja,باجة,0,,,,,,Tunisie
24/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
24/04/2020,Seliana,,0,,,,,,Tunisie
25/04/2020,Tunis,تونس,3,9,0,-6,429,1,Tunisie
25/04/2020,Ariana,اريانة,1,,,,,,Tunisie
25/04/2020,Medenine,مدنين,1,,,,,,Tunisie
25/04/2020,Ben Arous,بن عروس,0,,,,,,Tunisie
25/04/2020,Monastir,المنستير,0,,,,,,Tunisie
25/04/2020,Sousse,سوسة,1,,,,,,Tunisie
25/04/2020,Kebili,قبلي,2,,,,,,Tunisie
25/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
25/04/2020,Bizerte,بنزرت,2,,,,,,Tunisie
25/04/2020,Nabeul,نابل,0,,,,,,Tunisie
25/04/2020,Manouba,منوبة,0,,,,,,Tunisie
25/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
25/04/2020,Gabes,قابس,0,,,,,,Tunisie
25/04/2020,Mahdia,مهدية,0,,,,,,Tunisie
25/04/2020,Le Kef,الكاف,0,,,,,,Tunisie
25/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
25/04/2020,Tozeur,توزر,0,,,,,,Tunisie
25/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
25/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
25/04/2020,Kasserine,قصرين,0,,,,,,Tunisie
25/04/2020,Gafsa,قفصة,0,,,,,,Tunisie
25/04/2020,Beja,باجة,0,,,,,,Tunisie
25/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
25/04/2020,Seliana,,0,,,,,,Tunisie
26/04/2020,Tunis,تونس,4,63,0,0,263,-2,Tunisie
26/04/2020,Ariana,اريانة,0,,,,,,Tunisie
26/04/2020,Medenine,مدنين,0,,,,,,Tunisie
26/04/2020,Ben Arous,بن عروس,1,,1,,,,Tunisie
26/04/2020,Monastir,المنستير,0,,,,,,Tunisie
26/04/2020,Sousse,سوسة,0,,,,,,Tunisie
26/04/2020,Kebili,قبلي,2,,,,,,Tunisie
26/04/2020,Sfax,صفاقس,0,,,,,,Tunisie
26/04/2020,Bizerte,بنزرت,1,,,,,,Tunisie
26/04/2020,Nabeul,نابل,0,,,,,,Tunisie
26/04/2020,Manouba,منوبة,0,,,,,,Tunisie
26/04/2020,Tataouine,تطاوين,0,,,,,,Tunisie
26/04/2020,Gabes,قابس,0,,,,,,Tunisie
26/04/2020,Mahdia,مهدية,1,,,,,,Tunisie
26/04/2020,Le Kef,الكاف,1,,,,,,Tunisie
26/04/2020,Zaghouan,زغوان,0,,,,,,Tunisie
26/04/2020,Tozeur,توزر,0,,,,,,Tunisie
26/04/2020,Sidi Bouzid,سيدي بوزيد,0,,,,,,Tunisie
26/04/2020,Kairouan,القيروان,0,,,,,,Tunisie
26/04/2020,Kasserine,قصرين,2,,,,,,Tunisie
26/04/2020,Gafsa,قفصة,5,,,,,,Tunisie
26/04/2020,Beja,باجة,0,,,,,,Tunisie
26/04/2020,Jendouba,جندوبة,0,,,,,,Tunisie
26/04/2020,Seliana,,1,,,,,,Tunisie
27/04/2020,Tunis,تونس,2,,,,,,Tunisie
27/04/2020,Ariana,اريانة,1,,,,,,Tunisie
